,Question,Key
0,Q1,C
1,Q2,B
2,Q3,B
3,Q4,B
4,Q5,D
5,Q6,B
6,Q7,3
7,Q8,2
8,Q9,5
9,Q10,2
10,Q11,9
11,Q12,B
12,Q13,B
13,Q14,C
14,Q15,C
15,Q16,D
16,Q17,D
17,Q18A,P
18,Q18B,Q
19,Q18C,R
20,Q18D,S
21,Q19A,R
22,Q19B,P
23,Q19C,Q
24,Q19D,S
25,Q20,A
26,Q21,D
27,Q22,A
28,Q23,B
29,Q24,B
30,Q25,A
31,Q26,4
32,Q27,8
33,Q28,5
34,Q29,3
35,Q30,2
36,Q31,B
37,Q32,C
38,Q33,B
39,Q34,B
40,Q35,A
41,Q36,C
42,Q37A,"Q,R"
43,Q37B,"P,S"
44,Q37C,"Q,S"
45,Q37D,"P,R"
46,Q38A,R
47,Q38B,Q
48,Q38C,S
49,Q38D,P
50,Q39,D
51,Q40,A
52,Q41,A
53,Q42,C
54,Q43,B
55,Q44,B
56,Q45,2
57,Q46,4
58,Q47,0
59,Q48,1
60,Q49,2
61,Q50,B
62,Q51,D
63,Q52,B
64,Q53,B
65,Q54,C
66,Q55,B
67,Q56A,S
68,Q56B,R
69,Q56C,P
70,Q56D,"Q,R,T"
71,Q57A,S
72,Q57B,R
73,Q57C,S
74,Q57D,Q
